Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Porcine epidemic diarrhea virus		strain: CV777	28295	ViralProj14739	GCA_000848685.1	GenBank		Complete Genome	28033	28033	2001-04-23			
Human coronavirus 229E		strain: 229E	11137	ViralProj14913	GCA_000853505.1	GenBank	INSDC Submitter	Complete Genome	27317	27317	2001-01-11	6		
Human coronavirus NL63		strain: Amsterdam I	277944	ViralProj14960	GCA_000853865.1	GenBank		Complete Genome	27553	27553	2004-03-17			
Feline infectious peritonitis virus		isolate: 79-1146	11135	ViralProj15097	GCA_000856025.1	GenBank	INSDC Submitter	Complete Genome	29355	29355	2005-04-26	10		
Scotophilus bat coronavirus 512		strain: BtCoV/512/2005	693999	ViralProj20135	GCA_000870985.1	GenBank		Complete Genome	28203	28203	2006-07-19			
Rhinolophus bat coronavirus HKU2		strain: HKU2/GD/430/2006	693998	ViralProj27911	GCA_000875645.1	GenBank	INSDC Submitter	Complete Genome	27165	27165	2007-10-09	6		
Miniopterus bat coronavirus 1		strain: AFCD62	694000	ViralProj29247	GCA_000879255.1	GenBank	INSDC Submitter	Complete Genome	28326	28326	2008-03-09	7		
Miniopterus bat coronavirus HKU8		strain: AFCD77	694001	ViralProj29245	GCA_000879875.1	GenBank	INSDC Submitter	Complete Genome	28773	28773	2008-03-09	8		
Rousettus bat coronavirus HKU10		isolate: 183A	1241933	ViralProj177902	GCA_000899495.1	GenBank		Complete Genome	28494	28494	2012-10-17			
Bat coronavirus CDPHE15/USA/2006		strain: bat/USA/CDPHE15/2006	1384461	ViralProj215863	GCA_000913415.1	GenBank	INSDC Submitter	Complete Genome	28035	28035	2013-08-17	7	PRJNA260063	
Mink coronavirus strain WD1127		strain: WD1127	766791	ViralProj241029	GCA_000919475.1	GenBank		Complete Genome	28941	28941	2010-06-21			
Camel alphacoronavirus		isolate: camel/Riyadh/Ry141/2015	1699095	ViralProj306529	GCA_001500975.1	GenBank	INSDC Submitter	Complete Genome	27395	27395	2015-12-17	7		
Swine enteric coronavirus		strain: Italy/213306/2009	1766554	ViralProj307783	GCA_001501415.1	GenBank		Complete Genome	28111	28111	2015-12-13			
BtRf-AlphaCoV/YN2012		isolate: BtRf-YN2012	1503293	ViralProj307855	GCA_001501755.1	GenBank		Complete Genome	26975	26975	2015-12-31			
BtMr-AlphaCoV/SAX2011		isolate: BtMr-SAX2011	1503289	ViralProj307859	GCA_001503155.1	GenBank		Complete Genome	27935	27935	2015-12-31			
BtRf-AlphaCoV/HuB2013		isolate: BtRf-HuB2013	1503292	ViralProj307856	GCA_001504755.1	GenBank		Complete Genome	27608	27608	2015-12-31			
BtNv-AlphaCoV/SC2013		isolate: BtNv-SC2013	1503291	ViralProj307857	GCA_001505415.1	GenBank		Complete Genome	27783	27783	2015-12-31			
Ferret coronavirus		isolate: FRCoV-NL-2010	1264898	ViralProj325258	GCA_001661775.1	GenBank	INSDC Submitter	Complete Genome	28434	28434	2016-06-02	8		
NL63-related bat coronavirus		strain: BtKYNL63-9a	1920748	ViralProj357487	GCA_001904885.1	GenBank	INSDC Submitter	Complete Genome	28363	28363	2016-12-06	7		
Lucheng Rn rat coronavirus		isolate: Lucheng-19	1508224	ViralProj361952	GCA_001962315.1	GenBank		Complete Genome	28763	28763	2014-10-30			
Coronavirus AcCoV-JC34		isolate: AcCoV-JC34	1964806	ViralProj390412	GCA_002194405.1	GenBank		Complete Genome	27682	27682	2017-05-31			
Wencheng Sm shrew coronavirus		isolate: Xingguo-101	1508228	ViralProj394320	GCA_002219865.1	GenBank		Complete Genome	25995	25995	2017-07-06			
Transmissible gastroenteritis virus			11149	ASM298599v1	GCA_002985995.1	GenBank	INSDC Submitter	Complete Genome	28586	28586	2000-05-11	7		
Ferret coronavirus			1264898	ASM397188v1	GCA_003971885.1	GenBank		Complete Genome	28550	28550	2016-07-20			
NL63-related bat coronavirus			1920748	ASM397206v1	GCA_003972065.1	GenBank	INSDC Submitter	Complete Genome	28679	28679	2016-12-06	7		
Wencheng Sm shrew coronavirus			1508228	ASM1227163v1	GCA_012271635.1	GenBank		Complete Genome	25984	25984	2017-07-06			
Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015			2492658	ASM1227173v1	GCA_012271735.1	GenBank	INSDC Submitter	Complete Genome	28128	28128	2018-12-04	6		
Bat alphacoronavirus			2419667	ASM2312287v1	GCA_023122875.1	GenBank		Complete Genome	28045	28045	2018-10-16			
Alphacoronavirus sp.			1906673	ASM2312438v1	GCA_023124385.1	GenBank		Complete Genome	28170	28170	2019-12-21			
Alphacoronavirus sp.			1906673	ASM2312439v1	GCA_023124395.1	GenBank		Complete Genome	27435	27435	2019-12-21			
Alphacoronavirus sp.			1906673	ASM2312440v1	GCA_023124405.1	GenBank		Complete Genome	28009	28009	2019-12-21			
Tylonycteris bat coronavirus HKU33			2586420	ASM2312461v1	GCA_023124615.1	GenBank	INSDC Submitter	Complete Genome	27636	27636	2019-06-10	7		
Hipposideros pomona bat coronavirus CHB25			2691598	ASM2314179v1	GCA_023141795.1	GenBank	INSDC Submitter	Complete Genome	28169	28169	2019-12-31	8		
Bat alphacoronavirus			2419667	ASM2314883v1	GCA_023148835.1	GenBank		Complete Genome	29097	29097	2020-07-13			
Swine enteric coronavirus			1766554	SeCoV_GER_L00930_2012	GCA_900078225.1	GenBank		Complete Genome	28050	28050	2016-05-14		PRJEB13040	SAMEA3898260
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00901-V215_1978	GCA_900188515.1	GenBank	INSDC Submitter	Complete Genome	27998	27998	2018-02-24	3	PRJEB20818	SAMEA81257668
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00928-K20_14-03_2014	GCA_900197095.1	GenBank	INSDC Submitter	Complete Genome	28029	28029	2017-08-08	7	PRJEB19039	SAMEA81263668
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00927-K20_14-02_2014	GCA_900197105.1	GenBank	INSDC Submitter	Complete Genome	28029	28029	2017-08-08	6	PRJEB19039	SAMEA81262918
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00857-K14_14-04_2014	GCA_900197115.1	GenBank	INSDC Submitter	Complete Genome	28009	28009	2017-08-08	6	PRJEB19039	SAMEA81256168
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00932-K22_14-04_2014	GCA_900197125.1	GenBank	INSDC Submitter	Complete Genome	28029	28029	2017-08-08	6	PRJEB19039	SAMEA81265918
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00931-K22_14-03_2014	GCA_900197135.1	GenBank	INSDC Submitter	Complete Genome	28029	28029	2017-08-08	6	PRJEB19039	SAMEA81265168
Porcine epidemic diarrhea virus			28295	PEDV_GER_L01014-K01_15-04_2015	GCA_900197145.1	GenBank	INSDC Submitter	Complete Genome	28029	28029	2017-08-08	6	PRJEB19039	SAMEA81271168
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00999-K06_15-07_2015	GCA_900197155.1	GenBank	INSDC Submitter	Complete Genome	28006	28006	2017-08-08	6	PRJEB19039	SAMEA81268168
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00907- K16_14-02_2014	GCA_900197165.1	GenBank	INSDC Submitter	Complete Genome	28029	28029	2017-08-08	7	PRJEB19039	SAMEA81259168
Porcine epidemic diarrhea virus			28295	PEDV_AUSTRIA_L01064-M10_15-03_2015	GCA_900197185.1	GenBank	INSDC Submitter	Complete Genome	28030	28030	2017-08-08	6	PRJEB19039	SAMEA81279418
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00906-K16_14-01_2014	GCA_900197205.1	GenBank	INSDC Submitter	Complete Genome	28029	28029	2017-08-08	6	PRJEB19039	SAMEA81258418
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00933-K22_14-05_2014	GCA_900197225.1	GenBank	INSDC Submitter	Complete Genome	28029	28029	2017-08-08	6	PRJEB19039	SAMEA81266668
Porcine epidemic diarrhea virus			28295	PEDV_GER_L01018-K01_15-08_2015	GCA_900197235.1	GenBank	INSDC Submitter	Complete Genome	28030	28030	2017-08-08	6	PRJEB19039	SAMEA81273418
Porcine epidemic diarrhea virus			28295	PEDV_GER_L01020-K01_15-10_2015	GCA_900197245.1	GenBank	INSDC Submitter	Complete Genome	28030	28030	2017-08-08	6	PRJEB19039	SAMEA81274918
Porcine epidemic diarrhea virus			28295	PEDV_ROMANIA_L01329-K25_15-01_2015	GCA_900197275.1	GenBank	INSDC Submitter	Complete Genome	27981	27981	2017-08-08	6	PRJEB19039	SAMEA81280918
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00918-K17_14-01_2014	GCA_900197285.1	GenBank	INSDC Submitter	Complete Genome	27977	27977	2017-08-08	6	PRJEB19039	SAMEA81260668
Porcine epidemic diarrhea virus			28295	PEDV_GER_L01420-K06_15-04_2015	GCA_900197295.1	GenBank	INSDC Submitter	Complete Genome	28030	28030	2017-08-08	6	PRJEB19039	SAMEA81282418
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00908-K16_14-03_2014	GCA_900197305.1	GenBank	INSDC Submitter	Complete Genome	28029	28029	2017-08-08	6	PRJEB19039	SAMEA81259918
Porcine epidemic diarrhea virus			28295	PEDV_GER_L01012_K01_15-02_2015	GCA_900197315.1	GenBank	INSDC Submitter	Complete Genome	28030	28030	2017-08-08	6	PRJEB19039	SAMEA81269668
Porcine epidemic diarrhea virus			28295	PEDV_GER_L01019-K01_15-09_2015	GCA_900197325.1	GenBank	INSDC Submitter	Complete Genome	28030	28030	2017-08-08	6	PRJEB19039	SAMEA81274168
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00799- K11_14-01_2014	GCA_900197335.1	GenBank	INSDC Submitter	Complete Genome	28028	28028	2017-08-08	7	PRJEB19039	SAMEA81254668
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00926-K20__4-01_2014	GCA_900197345.1	GenBank	INSDC Submitter	Complete Genome	28029	28029	2017-08-08	6	PRJEB19039	SAMEA81262168
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00855-K14_14-02_2014	GCA_900197355.1	GenBank	INSDC Submitter	Complete Genome	28023	28023	2017-08-08	6	PRJEB19039	SAMEA81255418
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00919- K17_14-02_2014	GCA_900197365.1	GenBank	INSDC Submitter	Complete Genome	27975	27975	2017-08-08	6	PRJEB19039	SAMEA81261418
Porcine epidemic diarrhea virus			28295	PEDV_AUSTRIA_L01062-M10_15-01_2015	GCA_900197375.1	GenBank	INSDC Submitter	Complete Genome	28008	28008	2017-08-08	7	PRJEB19039	SAMEA81277918
Porcine epidemic diarrhea virus			28295	PEDV_GER_L01017-K01_15-07_2015	GCA_900197385.1	GenBank	INSDC Submitter	Complete Genome	28013	28013	2017-08-08	6	PRJEB19039	SAMEA81272668
Porcine epidemic diarrhea virus			28295	PEDV_ROMANIA_L01330-K25_15-02_2015	GCA_900197395.1	GenBank	INSDC Submitter	Complete Genome	28030	28030	2017-08-08	6	PRJEB19039	SAMEA81281668
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00798- K11_14-02_2014	GCA_900197405.1	GenBank	INSDC Submitter	Complete Genome	28030	28030	2017-08-08	6	PRJEB19039	SAMEA81253918
Porcine epidemic diarrhea virus			28295	PEDV_GER_L01059-K07_15-01_2015	GCA_900197415.1	GenBank	INSDC Submitter	Complete Genome	28030	28030	2017-08-08	6	PRJEB19039	SAMEA81275668
Porcine epidemic diarrhea virus			28295	PEDV_GER_L01060-K07_15-02_2015	GCA_900197425.1	GenBank	INSDC Submitter	Complete Genome	28026	28026	2017-08-08	6	PRJEB19039	SAMEA81276418
Porcine epidemic diarrhea virus			28295	PEDV_GER_L01061-K07_15-03_2015	GCA_900197455.1	GenBank	INSDC Submitter	Complete Genome	28030	28030	2017-08-08	7	PRJEB19039	SAMEA81277168
Porcine epidemic diarrhea virus			28295	PEDV_GER_L00998-K06_15-03_2015	GCA_900197475.1	GenBank	INSDC Submitter	Complete Genome	28028	28028	2017-08-08	6	PRJEB19039	SAMEA81267418
Porcine epidemic diarrhea virus			28295	PEDV_GER_L01011-K01_15-01_2015	GCA_900197485.1	GenBank	INSDC Submitter	Complete Genome	28029	28029	2017-08-08	6	PRJEB19039	SAMEA81268918
